filename,condition_label,ordered,story_L,story_R,voice_L,voice_R
..\data\processed_audios\with_probe\F01_M02_tone_probe.ogg,O_F_M,True,01,02,F,M
..\data\processed_audios\with_probe\M02_F01_tone_probe.ogg,NO_M_F,False,02,01,M,F
..\data\processed_audios\with_probe\F02_M01_tone_probe.ogg,NO_F_M,False,02,01,F,M
..\data\processed_audios\with_probe\M01_F02_tone_probe.ogg,O_M_F,True,01,02,M,F
..\data\processed_audios\with_probe\F03_M04_tone_probe.ogg,O_F_M,True,03,04,F,M
..\data\processed_audios\with_probe\M04_F03_tone_probe.ogg,NO_M_F,False,04,03,M,F
..\data\processed_audios\with_probe\F04_M03_tone_probe.ogg,NO_F_M,False,04,03,F,M
..\data\processed_audios\with_probe\M03_F04_tone_probe.ogg,O_M_F,True,03,04,M,F
..\data\processed_audios\with_probe\F05_M06_tone_probe.ogg,O_F_M,True,05,06,F,M
..\data\processed_audios\with_probe\M06_F05_tone_probe.ogg,NO_M_F,False,06,05,M,F
..\data\processed_audios\with_probe\F06_M05_tone_probe.ogg,NO_F_M,False,06,05,F,M
..\data\processed_audios\with_probe\M05_F06_tone_probe.ogg,O_M_F,True,05,06,M,F
..\data\processed_audios\with_probe\F07_M08_tone_probe.ogg,O_F_M,True,07,08,F,M
..\data\processed_audios\with_probe\M08_F07_tone_probe.ogg,NO_M_F,False,08,07,M,F
..\data\processed_audios\with_probe\F08_M07_tone_probe.ogg,NO_F_M,False,08,07,F,M
..\data\processed_audios\with_probe\M07_F08_tone_probe.ogg,O_M_F,True,07,08,M,F
..\data\processed_audios\with_probe\F09_M10_tone_probe.ogg,O_F_M,True,09,10,F,M
..\data\processed_audios\with_probe\M10_F09_tone_probe.ogg,NO_M_F,False,10,09,M,F
..\data\processed_audios\with_probe\F10_M09_tone_probe.ogg,NO_F_M,False,10,09,F,M
..\data\processed_audios\with_probe\M09_F10_tone_probe.ogg,O_M_F,True,09,10,M,F
