filename,condition_label,ordered,story_L,story_R,voice_L,voice_R
..\data\processed_audios\with_probe\F01_M02_tone_probe.ogg,O_F_M,True,1,2,F,M
..\data\processed_audios\with_probe\M02_F01_tone_probe.ogg,NO_M_F,False,1,2,M,F
..\data\processed_audios\with_probe\F02_M01_tone_probe.ogg,NO_F_M,False,2,1,F,M
..\data\processed_audios\with_probe\M01_F02_tone_probe.ogg,O_M_F,True,2,1,M,F
..\data\processed_audios\with_probe\F03_M04_tone_probe.ogg,O_F_M,True,3,4,F,M
..\data\processed_audios\with_probe\M04_F03_tone_probe.ogg,NO_M_F,False,3,4,M,F
..\data\processed_audios\with_probe\F04_M03_tone_probe.ogg,NO_F_M,False,4,3,F,M
..\data\processed_audios\with_probe\M03_F04_tone_probe.ogg,O_M_F,True,4,3,M,F
..\data\processed_audios\with_probe\F05_M06_tone_probe.ogg,O_F_M,True,5,6,F,M
..\data\processed_audios\with_probe\M06_F05_tone_probe.ogg,NO_M_F,False,5,6,M,F
..\data\processed_audios\with_probe\F06_M05_tone_probe.ogg,NO_F_M,False,6,5,F,M
..\data\processed_audios\with_probe\M05_F06_tone_probe.ogg,O_M_F,True,6,5,M,F
..\data\processed_audios\with_probe\F07_M08_tone_probe.ogg,O_F_M,True,7,8,F,M
..\data\processed_audios\with_probe\M08_F07_tone_probe.ogg,NO_M_F,False,7,8,M,F
..\data\processed_audios\with_probe\F08_M07_tone_probe.ogg,NO_F_M,False,8,7,F,M
..\data\processed_audios\with_probe\M07_F08_tone_probe.ogg,O_M_F,True,8,7,M,F
..\data\processed_audios\with_probe\F09_M10_tone_probe.ogg,O_F_M,True,9,10,F,M
..\data\processed_audios\with_probe\M10_F09_tone_probe.ogg,NO_M_F,False,9,10,M,F
..\data\processed_audios\with_probe\F10_M09_tone_probe.ogg,NO_F_M,False,10,9,F,M
..\data\processed_audios\with_probe\M09_F10_tone_probe.ogg,O_M_F,True,10,9,M,F
